Participant ID,Image Assigned (ID),Orientation,Thatcherized?,Response,Correct?,Response Time (s)
P02,img_113,Upright,Yes,,,
P02,img_152,Upright,Yes,,,
P02,img_095,Upright,Yes,,,
P02,img_119,Upright,No,,,
P02,img_072,Upright,No,,,
P02,img_044,Inverted,Yes,,,
P02,img_094,Upright,Yes,,,
P02,img_200,Upright,No,,,
P02,img_011,Inverted,No,,,
P02,img_074,Inverted,No,,,
P02,img_013,Upright,Yes,,,
P03,img_036,Inverted,No,,,
P03,img_070,Upright,No,,,
P03,img_007,Inverted,No,,,
P03,img_011,Inverted,No,,,
P03,img_181,Inverted,Yes,,,
P03,img_148,Inverted,Yes,,,
P03,img_144,Inverted,No,,,
P03,img_052,Inverted,Yes,,,
P03,img_055,Upright,Yes,,,
P03,img_157,Inverted,Yes,,,
P03,img_123,Inverted,Yes,,,
P03,img_116,Inverted,Yes,,,
P03,img_094,Upright,Yes,,,
P03,img_132,Upright,Yes,,,
P03,img_115,Upright,No,,,
P03,img_060,Inverted,Yes,,,
P03,img_039,Upright,Yes,,,
P03,img_138,Inverted,Yes,,,
P03,img_131,Inverted,Yes,,,
P03,img_046,Inverted,Yes,,,
P03,img_015,Upright,Yes,,,
P03,img_056,Inverted,Yes,,,
P03,img_135,Inverted,No,,,
P03,img_028,Upright,No,,,
P03,img_100,Inverted,Yes,,,
P03,img_179,Upright,No,,,
P03,img_151,Upright,No,,,
P03,img_101,Upright,No,,,
P03,img_140,Upright,No,,,
P03,img_004,Upright,Yes,,,
P03,img_081,Upright,No,,,
P03,img_121,Upright,Yes,,,
P03,img_041,Inverted,No,,,
P03,img_125,Upright,No,,,
P03,img_067,Inverted,Yes,,,
P03,img_188,Inverted,No,,,
P03,img_044,Inverted,Yes,,,
P03,img_095,Upright,Yes,,,
P03,img_173,Inverted,Yes,,,
P03,img_143,Upright,No,,,
P04,img_003,Upright,No,,,
P04,img_082,Inverted,Yes,,,
P04,img_177,Inverted,No,,,
P04,img_036,Inverted,No,,,
P04,img_029,Upright,No,,,
P04,img_005,Inverted,Yes,,,
P04,img_039,Upright,Yes,,,
P04,img_064,Inverted,Yes,,,
P04,img_146,Upright,Yes,,,
P04,img_085,Inverted,No,,,
P04,img_178,Inverted,Yes,,,
P04,img_135,Inverted,No,,,
P04,img_037,Inverted,No,,,
P04,img_040,Inverted,Yes,,,
P04,img_147,Inverted,Yes,,,
P04,img_054,Upright,Yes,,,
P04,img_004,Upright,Yes,,,
P04,img_011,Inverted,No,,,
P04,img_150,Upright,Yes,,,
P04,img_063,Upright,Yes,,,
P04,img_018,Upright,Yes,,,
P04,img_080,Upright,Yes,,,
P04,img_076,Inverted,No,,,
P04,img_023,Inverted,No,,,
P04,img_094,Upright,Yes,,,
P04,img_173,Inverted,Yes,,,
P04,img_157,Inverted,Yes,,,
P04,img_070,Upright,No,,,
P04,img_027,Upright,No,,,
P04,img_016,Upright,Yes,,,
P04,img_155,Upright,Yes,,,
P04,img_074,Inverted,No,,,
P04,img_013,Upright,Yes,,,
P04,img_112,Upright,Yes,,,
P04,img_107,Inverted,Yes,,,
P04,img_105,Inverted,No,,,
P04,img_190,Inverted,Yes,,,
P04,img_168,Inverted,No,,,
P04,img_069,Upright,Yes,,,
P04,img_160,Inverted,No,,,
P05,img_182,Upright,No,,,
P05,img_026,Inverted,No,,,
P05,img_057,Inverted,Yes,,,
P05,img_066,Upright,No,,,
P05,img_185,Inverted,Yes,,,
P05,img_024,Inverted,Yes,,,
P05,img_067,Inverted,Yes,,,
P05,img_061,Inverted,Yes,,,
P05,img_086,Inverted,No,,,
P05,img_095,Upright,Yes,,,
P05,img_112,Upright,Yes,,,
P05,img_009,Upright,Yes,,,
P05,img_181,Inverted,Yes,,,
P05,img_197,Inverted,Yes,,,
P05,img_073,Upright,Yes,,,
P05,img_136,Inverted,Yes,,,
P05,img_159,Upright,No,,,
P05,img_094,Upright,Yes,,,
P05,img_093,Upright,Yes,,,
P05,img_151,Upright,No,,,
P05,img_178,Inverted,Yes,,,
P05,img_025,Inverted,Yes,,,
P05,img_143,Upright,No,,,
P05,img_180,Inverted,Yes,,,
P05,img_162,Inverted,No,,,
P05,img_155,Upright,Yes,,,
P05,img_113,Upright,Yes,,,
P05,img_123,Inverted,Yes,,,
P05,img_088,Inverted,Yes,,,
P05,img_097,Upright,Yes,,,
P05,img_065,Inverted,Yes,,,
P05,img_116,Inverted,Yes,,,
P05,img_124,Inverted,No,,,
P05,img_076,Inverted,No,,,
P05,img_041,Inverted,No,,,
P05,img_115,Upright,No,,,
P05,img_051,Upright,Yes,,,
P05,img_010,Upright,Yes,,,
P05,img_144,Inverted,No,,,
P05,img_034,Upright,Yes,,,
P06,img_018,Upright,Yes,,,
P06,img_092,Upright,Yes,,,
P06,img_191,Inverted,No,,,
P06,img_060,Inverted,Yes,,,
P06,img_199,Inverted,No,,,
P06,img_011,Inverted,No,,,
P06,img_116,Inverted,Yes,,,
P06,img_075,Inverted,Yes,,,
P06,img_176,Upright,No,,,
P06,img_181,Inverted,Yes,,,
P06,img_129,Inverted,Yes,,,
P06,img_119,Upright,No,,,
P06,img_128,Inverted,Yes,,,
P06,img_028,Upright,No,,,
P06,img_047,Inverted,No,,,
P06,img_009,Upright,Yes,,,
P06,img_170,Inverted,Yes,,,
P06,img_017,Upright,Yes,,,
P06,img_042,Upright,No,,,
P06,img_118,Inverted,Yes,,,
P06,img_013,Upright,Yes,,,
P06,img_114,Inverted,Yes,,,
P06,img_106,Inverted,No,,,
P06,img_139,Upright,No,,,
P06,img_134,Inverted,No,,,
P06,img_021,Upright,No,,,
P06,img_169,Upright,Yes,,,
P06,img_165,Upright,No,,,
P06,img_081,Upright,No,,,
P06,img_174,Upright,No,,,
P06,img_072,Upright,No,,,
P06,img_163,Inverted,No,,,
P06,img_098,Inverted,Yes,,,
P06,img_195,Inverted,No,,,
P06,img_074,Inverted,No,,,
P06,img_006,Inverted,Yes,,,
P06,img_167,Inverted,Yes,,,
P06,img_107,Inverted,Yes,,,
P06,img_071,Inverted,Yes,,,
P06,img_151,Upright,No,,,
P07,img_157,Inverted,Yes,,,
P07,img_117,Upright,Yes,,,
P07,img_042,Upright,No,,,
P07,img_078,Inverted,No,,,
P07,img_115,Upright,No,,,
P07,img_134,Inverted,No,,,
P07,img_056,Inverted,Yes,,,
P07,img_093,Upright,Yes,,,
P07,img_176,Upright,No,,,
P07,img_041,Inverted,No,,,
P07,img_069,Upright,Yes,,,
P07,img_009,Upright,Yes,,,
P07,img_068,Upright,No,,,
P07,img_135,Inverted,No,,,
P07,img_130,Upright,Yes,,,
P07,img_044,Inverted,Yes,,,
P07,img_006,Inverted,Yes,,,
P07,img_123,Inverted,Yes,,,
P07,img_097,Upright,Yes,,,
P07,img_058,Upright,Yes,,,
P07,img_149,Inverted,Yes,,,
P07,img_079,Inverted,Yes,,,
P07,img_177,Inverted,No,,,
P07,img_147,Inverted,Yes,,,
P07,img_154,Inverted,No,,,
P07,img_086,Inverted,No,,,
P07,img_143,Upright,No,,,
P07,img_198,Upright,Yes,,,
P07,img_139,Upright,No,,,
P07,img_083,Upright,No,,,
P07,img_004,Upright,Yes,,,
P07,img_114,Inverted,Yes,,,
P07,img_017,Upright,Yes,,,
P07,img_169,Upright,Yes,,,
P07,img_063,Upright,Yes,,,
P07,img_029,Upright,No,,,
P07,img_122,Inverted,Yes,,,
P07,img_071,Inverted,Yes,,,
P07,img_189,Inverted,Yes,,,
P07,img_092,Upright,Yes,,,
P08,img_188,Inverted,No,,,
P08,img_081,Upright,No,,,
P08,img_138,Inverted,Yes,,,
P08,img_198,Upright,Yes,,,
P08,img_178,Inverted,Yes,,,
P08,img_011,Inverted,No,,,
P08,img_189,Inverted,Yes,,,
P08,img_127,Upright,Yes,,,
P08,img_014,Inverted,Yes,,,
P08,img_066,Upright,No,,,
P08,img_030,Upright,Yes,,,
P08,img_103,Upright,Yes,,,
P08,img_033,Inverted,No,,,
P08,img_072,Upright,No,,,
P08,img_076,Inverted,No,,,
P08,img_020,Inverted,Yes,,,
P08,img_051,Upright,Yes,,,
P08,img_099,Upright,Yes,,,
P08,img_123,Inverted,Yes,,,
P08,img_083,Upright,No,,,
P08,img_026,Inverted,No,,,
P08,img_005,Inverted,Yes,,,
P08,img_137,Upright,Yes,,,
P08,img_046,Inverted,Yes,,,
P08,img_031,Inverted,Yes,,,
P08,img_151,Upright,No,,,
P08,img_055,Upright,Yes,,,
P08,img_141,Inverted,No,,,
P08,img_111,Inverted,No,,,
P08,img_162,Inverted,No,,,
P08,img_140,Upright,No,,,
P08,img_171,Inverted,No,,,
P08,img_084,Upright,No,,,
P08,img_062,Upright,No,,,
P08,img_063,Upright,Yes,,,
P08,img_025,Inverted,Yes,,,
P08,img_085,Inverted,No,,,
P08,img_114,Inverted,Yes,,,
P08,img_098,Inverted,Yes,,,
P08,img_052,Inverted,Yes,,,
P09,img_001,Upright,No,,,
P09,img_153,Inverted,Yes,,,
P09,img_066,Upright,No,,,
P09,img_142,Inverted,No,,,
P09,img_086,Inverted,No,,,
P09,img_169,Upright,Yes,,,
P09,img_171,Inverted,No,,,
P09,img_193,Upright,Yes,,,
P09,img_097,Upright,Yes,,,
P09,img_071,Inverted,Yes,,,
P09,img_124,Inverted,No,,,
P09,img_029,Upright,No,,,
P09,img_151,Upright,No,,,
P09,img_150,Upright,Yes,,,
P09,img_022,Inverted,Yes,,,
P09,img_189,Inverted,Yes,,,
P09,img_181,Inverted,Yes,,,
P09,img_075,Inverted,Yes,,,
P09,img_172,Upright,No,,,
P09,img_059,Upright,No,,,
P09,img_024,Inverted,Yes,,,
P09,img_031,Inverted,Yes,,,
P09,img_060,Inverted,Yes,,,
P09,img_018,Upright,Yes,,,
P09,img_159,Upright,No,,,
P09,img_131,Inverted,Yes,,,
P09,img_136,Inverted,Yes,,,
P09,img_117,Upright,Yes,,,
P09,img_145,Inverted,No,,,
P09,img_008,Inverted,No,,,
P09,img_089,Upright,Yes,,,
P09,img_096,Inverted,Yes,,,
P09,img_007,Inverted,No,,,
P09,img_010,Upright,Yes,,,
P09,img_047,Inverted,No,,,
P09,img_164,Upright,Yes,,,
P09,img_186,Inverted,No,,,
P09,img_175,Upright,No,,,
P09,img_134,Inverted,No,,,
P09,img_115,Upright,No,,,
P10,img_015,Upright,Yes,,,
P10,img_166,Inverted,No,,,
P10,img_123,Inverted,Yes,,,
P10,img_161,Upright,No,,,
P10,img_060,Inverted,Yes,,,
P10,img_028,Upright,No,,,
P10,img_005,Inverted,Yes,,,
P10,img_143,Upright,No,,,
P10,img_130,Upright,Yes,,,
P10,img_126,Inverted,No,,,
P10,img_172,Upright,No,,,
P10,img_167,Inverted,Yes,,,
P10,img_156,Inverted,Yes,,,
P10,img_093,Upright,Yes,,,
P10,img_171,Inverted,No,,,
P10,img_125,Upright,No,,,
P10,img_165,Upright,No,,,
P10,img_159,Upright,No,,,
P10,img_108,Inverted,Yes,,,
P10,img_186,Inverted,No,,,
P10,img_019,Inverted,Yes,,,
P10,img_025,Inverted,Yes,,,
P10,img_024,Inverted,Yes,,,
P10,img_160,Inverted,No,,,
P10,img_089,Upright,Yes,,,
P10,img_063,Upright,Yes,,,
P10,img_196,Inverted,No,,,
P10,img_146,Upright,Yes,,,
P10,img_132,Upright,Yes,,,
P10,img_097,Upright,Yes,,,
P10,img_067,Inverted,Yes,,,
P10,img_055,Upright,Yes,,,
P10,img_188,Inverted,No,,,
P10,img_084,Upright,No,,,
P10,img_185,Inverted,Yes,,,
P10,img_068,Upright,No,,,
P10,img_081,Upright,No,,,
P10,img_054,Upright,Yes,,,
P10,img_181,Inverted,Yes,,,
P10,img_136,Inverted,Yes,,,
P11,img_019,Inverted,Yes,,,
P11,img_083,Upright,No,,,
P11,img_193,Upright,Yes,,,
P11,img_196,Inverted,No,,,
P11,img_134,Inverted,No,,,
P11,img_192,Inverted,Yes,,,
P11,img_105,Inverted,No,,,
P11,img_049,Upright,No,,,
P11,img_021,Upright,No,,,
P11,img_150,Upright,Yes,,,
P11,img_102,Inverted,Yes,,,
P11,img_002,Inverted,Yes,,,
P11,img_013,Upright,Yes,,,
P11,img_098,Inverted,Yes,,,
P11,img_110,Upright,Yes,,,
P11,img_028,Upright,No,,,
P11,img_191,Inverted,No,,,
P11,img_016,Upright,Yes,,,
P11,img_007,Inverted,No,,,
P11,img_167,Inverted,Yes,,,
P11,img_143,Upright,No,,,
P11,img_101,Upright,No,,,
P11,img_173,Inverted,Yes,,,
P11,img_111,Inverted,No,,,
P11,img_156,Inverted,Yes,,,
P11,img_088,Inverted,Yes,,,
P11,img_162,Inverted,No,,,
P11,img_121,Upright,Yes,,,
P11,img_012,Inverted,No,,,
P11,img_197,Inverted,Yes,,,
P11,img_072,Upright,No,,,
P11,img_100,Inverted,Yes,,,
P11,img_003,Upright,No,,,
P11,img_194,Upright,No,,,
P11,img_127,Upright,Yes,,,
P11,img_152,Upright,Yes,,,
P11,img_185,Inverted,Yes,,,
P11,img_055,Upright,Yes,,,
P11,img_113,Upright,Yes,,,
P11,img_040,Inverted,Yes,,,
P12,img_185,Inverted,Yes,,,
P12,img_107,Inverted,Yes,,,
P12,img_134,Inverted,No,,,
P12,img_093,Upright,Yes,,,
P12,img_090,Inverted,No,,,
P12,img_157,Inverted,Yes,,,
P12,img_108,Inverted,Yes,,,
P12,img_036,Inverted,No,,,
P12,img_143,Upright,No,,,
P12,img_122,Inverted,Yes,,,
P12,img_012,Inverted,No,,,
P12,img_172,Upright,No,,,
P12,img_141,Inverted,No,,,
P12,img_114,Inverted,Yes,,,
P12,img_133,Upright,Yes,,,
P12,img_095,Upright,Yes,,,
P12,img_165,Upright,No,,,
P12,img_024,Inverted,Yes,,,
P12,img_022,Inverted,Yes,,,
P12,img_135,Inverted,No,,,
P12,img_050,Inverted,No,,,
P12,img_169,Upright,Yes,,,
P12,img_163,Inverted,No,,,
P12,img_058,Upright,Yes,,,
P12,img_148,Inverted,Yes,,,
P12,img_070,Upright,No,,,
P12,img_053,Upright,Yes,,,
P12,img_007,Inverted,No,,,
P12,img_137,Upright,Yes,,,
P12,img_023,Inverted,No,,,
P12,img_094,Upright,Yes,,,
P12,img_136,Inverted,Yes,,,
P12,img_198,Upright,Yes,,,
P12,img_174,Upright,No,,,
P12,img_087,Upright,No,,,
P12,img_029,Upright,No,,,
P12,img_072,Upright,No,,,
P12,img_129,Inverted,Yes,,,
P12,img_037,Inverted,No,,,
P12,img_200,Upright,No,,,
P13,img_044,Inverted,Yes,,,
P13,img_033,Inverted,No,,,
P13,img_030,Upright,Yes,,,
P13,img_155,Upright,Yes,,,
P13,img_043,Upright,Yes,,,
P13,img_099,Upright,Yes,,,
P13,img_019,Inverted,Yes,,,
P13,img_130,Upright,Yes,,,
P13,img_065,Inverted,Yes,,,
P13,img_086,Inverted,No,,,
P13,img_073,Upright,Yes,,,
P13,img_005,Inverted,Yes,,,
P13,img_175,Upright,No,,,
P13,img_148,Inverted,Yes,,,
P13,img_133,Upright,Yes,,,
P13,img_077,Upright,Yes,,,
P13,img_061,Inverted,Yes,,,
P13,img_001,Upright,No,,,
P13,img_132,Upright,Yes,,,
P13,img_120,Inverted,Yes,,,
P13,img_103,Upright,Yes,,,
P13,img_040,Inverted,Yes,,,
P13,img_194,Upright,No,,,
P13,img_014,Inverted,Yes,,,
P13,img_111,Inverted,No,,,
P13,img_184,Inverted,Yes,,,
P13,img_085,Inverted,No,,,
P13,img_024,Inverted,Yes,,,
P13,img_097,Upright,Yes,,,
P13,img_112,Upright,Yes,,,
P13,img_196,Inverted,No,,,
P13,img_200,Upright,No,,,
P13,img_188,Inverted,No,,,
P13,img_095,Upright,Yes,,,
P13,img_168,Inverted,No,,,
P13,img_023,Inverted,No,,,
P13,img_139,Upright,No,,,
P13,img_035,Inverted,Yes,,,
P13,img_071,Inverted,Yes,,,
P13,img_009,Upright,Yes,,,
P14,img_044,Inverted,Yes,,,
P14,img_070,Upright,No,,,
P14,img_053,Upright,Yes,,,
P14,img_040,Inverted,Yes,,,
P14,img_063,Upright,Yes,,,
P14,img_158,Inverted,No,,,
P14,img_037,Inverted,No,,,
P14,img_046,Inverted,Yes,,,
P14,img_175,Upright,No,,,
P14,img_188,Inverted,No,,,
P14,img_173,Inverted,Yes,,,
P14,img_041,Inverted,No,,,
P14,img_190,Inverted,Yes,,,
P14,img_067,Inverted,Yes,,,
P14,img_058,Upright,Yes,,,
P14,img_085,Inverted,No,,,
P14,img_169,Upright,Yes,,,
P14,img_003,Upright,No,,,
P14,img_164,Upright,Yes,,,
P14,img_008,Inverted,No,,,
P14,img_184,Inverted,Yes,,,
P14,img_199,Inverted,No,,,
P14,img_180,Inverted,Yes,,,
P14,img_145,Inverted,No,,,
P14,img_043,Upright,Yes,,,
P14,img_022,Inverted,Yes,,,
P14,img_195,Inverted,No,,,
P14,img_121,Upright,Yes,,,
P14,img_032,Upright,No,,,
P14,img_073,Upright,Yes,,,
P14,img_136,Inverted,Yes,,,
P14,img_162,Inverted,No,,,
P14,img_131,Inverted,Yes,,,
P14,img_137,Upright,Yes,,,
P14,img_036,Inverted,No,,,
P14,img_156,Inverted,Yes,,,
P14,img_020,Inverted,Yes,,,
P14,img_147,Inverted,Yes,,,
P14,img_059,Upright,No,,,
P14,img_138,Inverted,Yes,,,
P15,img_059,Upright,No,,,
P15,img_006,Inverted,Yes,,,
P15,img_016,Upright,Yes,,,
P15,img_187,Inverted,No,,,
P15,img_174,Upright,No,,,
P15,img_166,Inverted,No,,,
P15,img_070,Upright,No,,,
P15,img_038,Inverted,Yes,,,
P15,img_118,Inverted,Yes,,,
P15,img_159,Upright,No,,,
P15,img_001,Upright,No,,,
P15,img_116,Inverted,Yes,,,
P15,img_061,Inverted,Yes,,,
P15,img_084,Upright,No,,,
P15,img_095,Upright,Yes,,,
P15,img_160,Inverted,No,,,
P15,img_004,Upright,Yes,,,
P15,img_189,Inverted,Yes,,,
P15,img_040,Inverted,Yes,,,
P15,img_112,Upright,Yes,,,
P15,img_025,Inverted,Yes,,,
P15,img_035,Inverted,Yes,,,
P15,img_198,Upright,Yes,,,
P15,img_105,Inverted,No,,,
P15,img_102,Inverted,Yes,,,
P15,img_055,Upright,Yes,,,
P15,img_157,Inverted,Yes,,,
P15,img_181,Inverted,Yes,,,
P15,img_092,Upright,Yes,,,
P15,img_169,Upright,Yes,,,
P15,img_036,Inverted,No,,,
P15,img_015,Upright,Yes,,,
P15,img_194,Upright,No,,,
P15,img_056,Inverted,Yes,,,
P15,img_017,Upright,Yes,,,
P15,img_153,Inverted,Yes,,,
P15,img_165,Upright,No,,,
P15,img_164,Upright,Yes,,,
P15,img_177,Inverted,No,,,
P15,img_076,Inverted,No,,,
P16,img_080,Upright,Yes,,,
P16,img_157,Inverted,Yes,,,
P16,img_114,Inverted,Yes,,,
P16,img_075,Inverted,Yes,,,
P16,img_149,Inverted,Yes,,,
P16,img_130,Upright,Yes,,,
P16,img_106,Inverted,No,,,
P16,img_195,Inverted,No,,,
P16,img_112,Upright,Yes,,,
P16,img_161,Upright,No,,,
P16,img_043,Upright,Yes,,,
P16,img_136,Inverted,Yes,,,
P16,img_089,Upright,Yes,,,
P16,img_076,Inverted,No,,,
P16,img_073,Upright,Yes,,,
P16,img_133,Upright,Yes,,,
P16,img_169,Upright,Yes,,,
P16,img_200,Upright,No,,,
P16,img_163,Inverted,No,,,
P16,img_109,Upright,Yes,,,
P16,img_118,Inverted,Yes,,,
P16,img_110,Upright,Yes,,,
P16,img_072,Upright,No,,,
P16,img_137,Upright,Yes,,,
P16,img_097,Upright,Yes,,,
P16,img_196,Inverted,No,,,
P16,img_108,Inverted,Yes,,,
P16,img_121,Upright,Yes,,,
P16,img_051,Upright,Yes,,,
P16,img_134,Inverted,No,,,
P16,img_143,Upright,No,,,
P16,img_030,Upright,Yes,,,
P16,img_020,Inverted,Yes,,,
P16,img_150,Upright,Yes,,,
P16,img_167,Inverted,Yes,,,
P16,img_071,Inverted,Yes,,,
P16,img_100,Inverted,Yes,,,
P16,img_155,Upright,Yes,,,
P16,img_050,Inverted,No,,,
P16,img_028,Upright,No,,,
P17,img_143,Upright,No,,,
P17,img_186,Inverted,No,,,
P17,img_183,Inverted,No,,,
P17,img_124,Inverted,No,,,
P17,img_005,Inverted,Yes,,,
P17,img_043,Upright,Yes,,,
P17,img_191,Inverted,No,,,
P17,img_041,Inverted,No,,,
P17,img_155,Upright,Yes,,,
P17,img_120,Inverted,Yes,,,
P17,img_066,Upright,No,,,
P17,img_082,Inverted,Yes,,,
P17,img_055,Upright,Yes,,,
P17,img_146,Upright,Yes,,,
P17,img_194,Upright,No,,,
P17,img_027,Upright,No,,,
P17,img_148,Inverted,Yes,,,
P17,img_063,Upright,Yes,,,
P17,img_018,Upright,Yes,,,
P17,img_030,Upright,Yes,,,
P17,img_070,Upright,No,,,
P17,img_009,Upright,Yes,,,
P17,img_137,Upright,Yes,,,
P17,img_145,Inverted,No,,,
P17,img_125,Upright,No,,,
P17,img_036,Inverted,No,,,
P17,img_062,Upright,No,,,
P17,img_106,Inverted,No,,,
P17,img_040,Inverted,Yes,,,
P17,img_033,Inverted,No,,,
P17,img_025,Inverted,Yes,,,
P17,img_046,Inverted,Yes,,,
P17,img_114,Inverted,Yes,,,
P17,img_189,Inverted,Yes,,,
P17,img_116,Inverted,Yes,,,
P17,img_122,Inverted,Yes,,,
P17,img_104,Upright,No,,,
P17,img_181,Inverted,Yes,,,
P17,img_135,Inverted,No,,,
P17,img_054,Upright,Yes,,,
P18,img_200,Upright,No,,,
P18,img_128,Inverted,Yes,,,
P18,img_131,Inverted,Yes,,,
P18,img_096,Inverted,Yes,,,
P18,img_073,Upright,Yes,,,
P18,img_029,Upright,No,,,
P18,img_113,Upright,Yes,,,
P18,img_188,Inverted,No,,,
P18,img_119,Upright,No,,,
P18,img_083,Upright,No,,,
P18,img_168,Inverted,No,,,
P18,img_067,Inverted,Yes,,,
P18,img_011,Inverted,No,,,
P18,img_003,Upright,No,,,
P18,img_186,Inverted,No,,,
P18,img_184,Inverted,Yes,,,
P18,img_146,Upright,Yes,,,
P18,img_166,Inverted,No,,,
P18,img_012,Inverted,No,,,
P18,img_022,Inverted,Yes,,,
P18,img_102,Inverted,Yes,,,
P18,img_091,Inverted,No,,,
P18,img_163,Inverted,No,,,
P18,img_001,Upright,No,,,
P18,img_179,Upright,No,,,
P18,img_031,Inverted,Yes,,,
P18,img_007,Inverted,No,,,
P18,img_044,Inverted,Yes,,,
P18,img_047,Inverted,No,,,
P18,img_037,Inverted,No,,,
P18,img_002,Inverted,Yes,,,
P18,img_008,Inverted,No,,,
P18,img_180,Inverted,Yes,,,
P18,img_064,Inverted,Yes,,,
P18,img_175,Upright,No,,,
P18,img_187,Inverted,No,,,
P18,img_167,Inverted,Yes,,,
P18,img_042,Upright,No,,,
P18,img_138,Inverted,Yes,,,
P18,img_087,Upright,No,,,
P19,img_084,Upright,No,,,
P19,img_151,Upright,No,,,
P19,img_114,Inverted,Yes,,,
P19,img_090,Inverted,No,,,
P19,img_140,Upright,No,,,
P19,img_065,Inverted,Yes,,,
P19,img_062,Upright,No,,,
P19,img_113,Upright,Yes,,,
P19,img_117,Upright,Yes,,,
P19,img_180,Inverted,Yes,,,
P19,img_192,Inverted,Yes,,,
P19,img_160,Inverted,No,,,
P19,img_169,Upright,Yes,,,
P19,img_053,Upright,Yes,,,
P19,img_032,Upright,No,,,
P19,img_025,Inverted,Yes,,,
P19,img_081,Upright,No,,,
P19,img_106,Inverted,No,,,
P19,img_059,Upright,No,,,
P19,img_189,Inverted,Yes,,,
P19,img_064,Inverted,Yes,,,
P19,img_019,Inverted,Yes,,,
P19,img_083,Upright,No,,,
P19,img_197,Inverted,Yes,,,
P19,img_033,Inverted,No,,,
P19,img_112,Upright,Yes,,,
P19,img_174,Upright,No,,,
P19,img_043,Upright,Yes,,,
P19,img_052,Inverted,Yes,,,
P19,img_123,Inverted,Yes,,,
P19,img_086,Inverted,No,,,
P19,img_055,Upright,Yes,,,
P19,img_145,Inverted,No,,,
P19,img_092,Upright,Yes,,,
P19,img_188,Inverted,No,,,
P19,img_050,Inverted,No,,,
P19,img_021,Upright,No,,,
P19,img_006,Inverted,Yes,,,
P19,img_148,Inverted,Yes,,,
P19,img_144,Inverted,No,,,
P20,img_094,Upright,Yes,,,
P20,img_133,Upright,Yes,,,
P20,img_056,Inverted,Yes,,,
P20,img_185,Inverted,Yes,,,
P20,img_148,Inverted,Yes,,,
P20,img_198,Upright,Yes,,,
P20,img_014,Inverted,Yes,,,
P20,img_093,Upright,Yes,,,
P20,img_064,Inverted,Yes,,,
P20,img_188,Inverted,No,,,
P20,img_031,Inverted,Yes,,,
P20,img_053,Upright,Yes,,,
P20,img_199,Inverted,No,,,
P20,img_039,Upright,Yes,,,
P20,img_057,Inverted,Yes,,,
P20,img_015,Upright,Yes,,,
P20,img_154,Inverted,No,,,
P20,img_127,Upright,Yes,,,
P20,img_044,Inverted,Yes,,,
P20,img_021,Upright,No,,,
P20,img_011,Inverted,No,,,
P20,img_155,Upright,Yes,,,
P20,img_146,Upright,Yes,,,
P20,img_019,Inverted,Yes,,,
P20,img_171,Inverted,No,,,
